MCE22CE005,MCE22AIM007
MCE22CE013,MCE22AIM012
MCE22CE015,MCE22AIM013
MCE22CE026,MCE22AIM024
MCE22CE033,MCE22AIM027
MCE22CE034,MCE22AIM028
MCE22CE047,MCE22AIM036
MCE22CE048,MCE22AIM045
MCE22CE049,MCE22AIM048
MCE23CE001,MCE22AIM054
MCE23CE002,MCE23AIM001
MCE23CE003,MCE23AIM002
MCE23CE004,MCE23AIM003
MCE23CE005,MCE23AIM004
MCE23CE006,MCE23AIM005
Total Seats:30,---
Next Class,---
MCE23CE007,MCE23AIM006
MCE23CE008,MCE23AIM007
MCE23CE009,MCE23AIM008
MCE23CE010,MCE23AIM009
MCE23CE011,MCE23AIM010
MCE23CE013,MCE23AIM011
MCE23CE014,MCE23AIM012
MCE23CE015,MCE23AIM013
MCE23CE016,MCE23AIM014
MCE23CE017,MCE23AIM015
MCE23CE018,MCE23AIM016
MCE23CE019,MCE23AIM017
MCE23CE020,MCE23AIM018
MCE23CE021,MCE23AIM019
MCE23CE022,MCE23AIM020
Total Seats:30,---
Next Class,---
MCE23CE023,MCE23AIM021
MCE23CE024,MCE23AIM022
MCE23CE025,MCE23AIM023
MCE23CE026,MCE23AIM024
MCE23CE027,MCE23AIM025
MCE23CE028,MCE23AIM026
MCE23CE029,MCE23AIM027
MCE23CE030,MCE23AIM028
MCE23CE031,MCE23AIM029
MCE23CE032,MCE23AIM030
MCE23CE033,MCE23AIM031
MCE23CE034,MCE23AIM032
MCE23CE035,MCE23AIM033
MCE23CE036,MCE23AIM034
MCE23CE037,MCE23AIM035
Total Seats:30,---
Next Class,---
MCE23CE038,MCE23AIM036
MCE23CE039,MCE23AIM037
MCE23CE040,MCE23AIM038
MCE23CE041,MCE23AIM039
MCE23CE042,MCE23AIM040
MCE23CE043,MCE23AIM041
MCE23CE044,MCE23AIM042
MCE23CE045,MCE23AIM043
MCE23CE046,MCE23AIM044
MCE23CE047,MCE23AIM045
MCE23CE048,MCE23AIM046
MCE23CE049,MCE23AIM047
MCE23CE050,MCE23AIM048
MCE23CE051,MCE23AIM049
MCE23CE052,MCE23AIM050
Total Seats:30,---
Next Class,---
MCE23CE053,MCE23AIM051
MCE23CE054,MCE23AIM052
MCE19CS001,MCE23AIM053
MCE19CS031,MCE23AIM054
MCE20CS040,MCE23AIM055
MCE20CS116,MCE23AIM056
MCE21CS009,MCE23AIM057
MCE21CS010,MCE23AIM058
MCE21CS060,MCE23AIM059
MCE21CS100,MCE23AIM060
MCE21CS106,MCE23AIM061
MCE21CS120,MCE23AIM062
MCE22CS012,MCE23AIM063
MCE22CS016,MCE19CE008
MCE22CS023,MCE19CE010
Total Seats:30,---
Next Class,---
MCE22CS028,MCE19CE017
MCE22CS061,MCE19CE020
MCE22CS073,MCE20CE018
MCE22CS089,MCE20CE025
MCE22CS091,MCE21CE009
MCE22CS095,MCE21CE010
MCE23CS001,MCE21CE014
MCE23CS002,MCE21CE030
MCE23CS003,MCE21CE054
MCE23CS004,MCE21CE059
MCE23CS005,MCE22EC001
MCE23CS006,MCE22EC002
MCE23CS007,MCE22EC003
MCE23CS008,MCE22EC008
MCE23CS009,MCE22EC010
Total Seats:30,---
Next Class,---
MCE23CS010,MCE22EC021
MCE23CS011,MCE22EC022
MCE23CS012,MCE22EC024
MCE23CS013,MCE22EC025
MCE23CS014,MCE22EC027
MCE23CS015,MCE22EC028
MCE23CS016,MCE22EC031
MCE23CS017,MCE22EC032
MCE23CS018,MCE22EC034
MCE23CS019,MCE22EC038
MCE23CS020,MCE22EC042
MCE23CS021,MCE22EC045
MCE23CS022,MCE22EC051
MCE23CS023,MCE22EC052
MCE23CS024,MCE22EC053
Total Seats:30,---
Next Class,---
MCE23CS025,MCE22EC055
MCE23CS026,MCE22EC058
MCE23CS027,MCE23EC001
MCE23CS028,MCE23EC002
MCE23CS029,MCE23EC003
MCE23CS030,MCE23EC004
MCE23CS031,MCE23EC005
MCE23CS032,MCE23EC006
MCE23CS033,MCE23EC008
MCE23CS034,MCE23EC009
MCE23CS035,MCE23EC010
MCE23CS036,MCE23EC011
MCE23CS037,MCE23EC012
MCE23CS038,MCE23EC013
MCE23CS039,MCE23EC014
Total Seats:30,---
Next Class,---
MCE23CS040,MCE23EC015
MCE23CS041,MCE23EC016
MCE23CS042,MCE23EC017
MCE23CS043,MCE23EC018
MCE23CS044,MCE23EC019
MCE23CS045,MCE23EC020
MCE23CS046,MCE23EC021
MCE23CS047,MCE23EC022
MCE23CS048,MCE23EC023
MCE23CS049,MCE23EC024
MCE23CS050,MCE23EC025
MCE23CS051,MCE23EC026
MCE23CS052,MCE23EC027
MCE23CS053,MCE23EC028
MCE23CS054,MCE23EC029
Total Seats:30,---
Next Class,---
MCE23CS055,MCE23EC030
MCE23CS056,MCE23EC031
MCE23CS057,MCE23EC032
MCE23CS058,MCE23EC033
MCE23CS059,MCE23EC034
MCE23CS060,MCE23EC035
MCE23CS061,MCE23EC036
MCE23CS062,MCE23EC038
MCE23CS063,MCE23EC039
MCE23CS064,MCE23EC040
MCE23CS065,MCE22ECE001
MCE23CS066,MCE22ECE002
MCE23CS067,MCE22ECE013
MCE23CS068,MCE22ECE019
MCE23CS069,MCE22ECE022
Total Seats:30,---
Next Class,---
MCE23CS070,MCE22ECE024
MCE23CS071,MCE22ECE028
MCE23CS072,MCE22ECE030
MCE23CS073,MCE23ECE001
MCE23CS074,MCE23ECE002
MCE23CS075,MCE23ECE003
MCE23CS076,MCE23ECE004
MCE23CS077,MCE23ECE005
MCE23CS078,MCE23ECE006
MCE23CS079,MCE23ECE007
MCE23CS080,MCE23ECE008
MCE23CS081,MCE23ECE009
MCE23CS082,MCE23ECE010
MCE23CS083,MCE23ECE011
MCE23CS084,MCE23ECE012
Total Seats:30,---
Next Class,---
MCE23CS085,MCE23ECE013
MCE23CS086,MCE23ECE014
MCE23CS087,MCE23ECE015
MCE23CS088,MCE23ECE016
MCE23CS089,MCE23ECE017
MCE23CS090,MCE23ECE018
MCE23CS091,MCE23ECE019
MCE23CS092,MCE23ECE020
MCE23CS093,MCE23ECE021
MCE23CS094,MCE23ECE022
MCE23CS095,MCE23ECE023
MCE23CS096,MCE23ECE024
MCE23CS097,MCE23ECE025
MCE23CS098,MCE23ECE026
MCE23CS099,MCE23ECE027
Total Seats:30,---
Next Class,---
MCE23CS100,MCE23ECE028
MCE23CS101,MCE23ECE029
MCE23CS103,MCE23ECE030
MCE23CS104,MCE23ECE031
MCE23CS105,MCE23ECE032
MCE23CS106,MCE23ECE033
MCE23CS107,MCE23ECE034
MCE23CS108,MCE23ECE035
MCE23CS109,MCE23ECE036
MCE23CS110,MCE23ECE037
MCE23CS111,MCE23ECE038
MCE23CS112,MCE23ECE039
MCE23CS113,MCE23ECE040
MCE23CS114,MCE23ECE041
MCE23CS115,MCE23ECE042
Total Seats:30,---
Next Class,---
MCE23CS116,MCE23ECE043
MCE23CS117,MCE23ECE044
MCE23CS118,MCE23ECE045
MCE23CS119,MCE23ECE046
MCE23CS120,MCE23ECE047
MCE23CS121,MCE19ME005
MCE23CS122,MCE19ME024
MCE23CS123,MCE19ME028
